,A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges
0,Background Audio,Intentional Audio,-1.111,0.156,-1.267,0.252,-5.023,0.001,-1.05
1,Background Audio,Location,-1.111,-0.4,-0.711,0.252,-2.82,0.553,-0.589
2,Background Audio,"My Face
 (for Improving the App)",-1.111,-0.4,-0.711,0.252,-2.82,0.553,-0.589
3,Background Audio,"My Face
 (for core functionality)",-1.111,0.311,-1.422,0.252,-5.64,0.001,-1.179
4,Background Audio,"My Face
 in the Background of Someone Else",-1.111,-0.8,-0.311,0.252,-1.234,0.9,-0.258
5,Background Audio,"Near-Nudity
 (Accidental)",-1.111,-1.622,0.511,0.252,2.027,0.5,0.424
6,Background Audio,"Near-Nudity
 (Intentional)",-1.111,-1.0,-0.111,0.252,-0.441,0.9,-0.092
7,Background Audio,"Object 
 (License)",-1.111,-1.733,0.622,0.252,2.468,0.468,0.516
8,Background Audio,"Object 
 (Meds)",-1.111,-1.444,0.333,0.252,1.322,0.9,0.276
9,Background Audio,"Object 
 (Mess)",-1.111,-0.489,-0.622,0.252,-2.468,0.468,-0.516
10,Background Audio,"Object 
 (Sexual)",-1.111,-1.667,0.556,0.252,2.203,0.5,0.461
11,Background Audio,"Other Faces
 in the Background",-1.111,-0.333,-0.778,0.252,-3.085,0.73,-0.645
12,Background Audio,Payment Information,-1.111,-0.867,-0.244,0.252,-0.969,0.9,-0.203
13,Background Audio,"Pupil Dialation
 (to assess excitement)",-1.111,-1.111,0.0,0.252,0.0,0.9,0.0
14,Intentional Audio,Location,0.156,-0.4,0.556,0.252,2.203,0.5,0.461
15,Intentional Audio,"My Face
 (for Improving the App)",0.156,-0.4,0.556,0.252,2.203,0.5,0.461
16,Intentional Audio,"My Face
 (for core functionality)",0.156,0.311,-0.156,0.252,-0.617,0.9,-0.129
17,Intentional Audio,"My Face
 in the Background of Someone Else",0.156,-0.8,0.956,0.252,3.79,0.669,0.792
18,Intentional Audio,"Near-Nudity
 (Accidental)",0.156,-1.622,1.778,0.252,7.05,0.001,1.474
19,Intentional Audio,"Near-Nudity
 (Intentional)",0.156,-1.0,1.156,0.252,4.583,0.001,0.958
20,Intentional Audio,"Object 
 (License)",0.156,-1.733,1.889,0.252,7.491,0.001,1.566
21,Intentional Audio,"Object 
 (Meds)",0.156,-1.444,1.6,0.252,6.345,0.001,1.326
22,Intentional Audio,"Object 
 (Mess)",0.156,-0.489,0.644,0.252,2.556,0.405,0.534
23,Intentional Audio,"Object 
 (Sexual)",0.156,-1.667,1.822,0.252,7.227,0.001,1.51
24,Intentional Audio,"Other Faces
 in the Background",0.156,-0.333,0.489,0.252,1.939,0.5,0.405
25,Intentional Audio,Payment Information,0.156,-0.867,1.022,0.252,4.054,0.669,0.847
26,Intentional Audio,"Pupil Dialation
 (to assess excitement)",0.156,-1.111,1.267,0.252,5.023,0.001,1.05
27,Location,"My Face
 (for Improving the App)",-0.4,-0.4,0.0,0.252,0.0,0.9,0.0
